Testee Name,Icon Name,Height,Width,X Position,Y Position,Number of Failures,Time to Succeed,TimeStamp,
,
l,/Circle-icon.png,874.8000000000001,874.8000000000001,522.5999999999999,102.59999999999997,0,00:00:03.945,2018-11-18 14:09:30.303,
l,/Circle-icon.png,787.32,787.32,566.3399999999999,146.33999999999997,0,00:00:07.774,2018-11-18 14:09:38.078,
l,/Circle-icon.png,708.5880000000001,708.5880000000001,605.7059999999999,185.70599999999996,0,00:00:04.135,2018-11-18 14:09:42.215,
l,/Circle-icon.png,637.7292000000001,637.7292000000001,641.1353999999999,221.13539999999995,1,00:00:06.507,2018-11-18 14:09:48.723,
